time,x,y,z,Vx,Vy,Vz
5970.0,7068311.703676732,2949488.659025346,-1219464.392126939,1394.3748590619489,1212.5009536625946,6799.313478853211
5980.0,7081953.521342611,2961487.5881196787,-1151420.1678473803,1333.9950070226091,1187.2785494610564,6809.430283497793
5990.0,7094991.738038437,2973234.107316038,-1083277.8044938245,1273.6554201679673,1162.0193354516678,6818.94168006204
6000.0,7107426.778983482,2984727.8593241517,-1015043.3445152644,1213.3606033679905,1136.7254698181255,6827.849998820789
6010.0,7119259.11418796,2995968.5083344197,-946722.8069421037,1153.1150100106938,1111.399090527604,6836.157593063438
6020.0,7130489.257940301,3006955.7398162466,-878322.1871605887,1092.923042422037,1086.0423154307293,6843.866838181602
6030.0,7141117.768298663,3017689.260317394,-809847.4566962691,1032.7890522929326,1060.6572423663179,6850.980130775569
6040.0,7151145.246586741,3028168.797264407,-741304.5630063018,972.7173411129671,1035.2459492706882,6857.499887779418
6050.0,7160572.33689395,3038394.0987641527,-672699.4292804094,912.7121606104452,1009.8104942913708,6863.428545604654
6060.0,7169399.725580038,3048364.9334065197,-604037.9542503121,852.7777131983751,984.3529159050302,6868.768559302188
6070.0,7177628.140784184,3058081.090068315,-535326.012007447,792.9181524260259,958.8752330394299,6873.522401742515
6080.0,7185258.351938647,3067542.3777184025,-466569.45182879694,733.1375834356962,933.3794451992669,6877.692562813921
6090.0,7192291.169286991,3076748.625224115,-397774.09801064664,673.4400634243426,907.8675325957089,6881.281548638541
6100.0,7198727.443406964,3085699.681158982,-328945.7497100902,613.8296021097282,882.3414562794716,6884.291880806114
6110.0,7204568.064738056,3094395.413611807,-260090.1807941135,554.3101622007578,856.8031582772766,6886.726095625234
6120.0,7209813.963113774,3102835.7099971194,-191213.1396960767,494.8856598716791,831.2545617315336,6888.586743391928
6130.0,7214466.107298684,3111020.4768670457,-122320.349279426,435.5599652398354,805.6975710430961,6889.876387675384
6140.0,7218525.5045302445,3118949.639724619,-53417.50670846236,376.3369028466663,780.1340720169405,6890.597604620625
6150.0,7221993.200065463,3126623.14283856,15489.716674000083,317.2202521416613,754.5659320106259,6890.752982267958
6160.0,7224870.276732409,3134040.9490595567,84395.67546225323,258.21374796897976,728.9950000853922,6890.345119888992
6170.0,7227157.854486605,3141203.039638066,153294.7502967565,199.32108105645918,703.4231071597592,6889.376627339038
6180.0,7228857.089972314,3148109.414043667,222181.34796680335,140.5458985067432,677.8520661654926,6887.8501244257
6190.0,7229969.176088754,3154760.0897859787,291049.9015069538,81.89180429026769,652.2836722058073,6885.768240293448
6200.0,7230495.341561246,3161155.1022371785,359894.870287392,23.362359739852394,626.7197027156795,6883.133612823985
6210.0,7230436.850517317,3167294.504456127,428710.74009836523,-35.03891595334638,601.1619176241444,6879.948888052207
6220.0,7229795.002067768,3173178.3670141296,497492.0232288601,-93.30854524275918,575.612059518459,6876.216719597553
6230.0,7228571.129892718,3178806.7778223446,566233.2585396678,-151.443091728432,550.0718538100134,6871.939768110541
6240.0,7226766.601832629,3184179.841960863,634929.0115309905,-209.43915965838144,524.5430089018755,6867.120700734298
6250.0,7224382.819484323,3189297.681509469,703573.8744047362,-267.2933934294907,499.0272163578595,6861.762190580872
6260.0,7221421.217801989,3194160.435380098,772162.466121651,-325.00247708815346,473.5261510730097,6855.866916222128
6270.0,7217883.264703186,3198768.2591510075,840689.4324534313,-382.5631338308647,448.0414714453954,6849.437561195026
6280.0,7213770.460679838,3203121.324902671,909149.4460299605,-439.97212550495215,422.5748195491155,6842.476813521081
6290.0,7209084.33841422,3207219.8210554086,977537.2063818102,-497.22625210963395,397.1278213084139,6834.98736523979
6300.0,7203826.462399933,3211063.9522087625,1045847.4399781445,-554.3223512975815,371.70208667281025,6826.971911955851
6310.0,7197998.4285678575,3214653.9389826297,1114074.9002601646,-611.2572978771607,346.2992097931531,6818.433152399939
