time,x,y,z,Vx,Vy,Vz
51860.0,6782931.306806072,3176041.01881593,3135043.0176752345,-2269.3598971007045,-405.2697899154543,6302.044853087843
51870.0,6759985.491507035,3171870.1414585984,3197945.744063285,-2319.7627656911422,-428.89491538418184,6278.427832019404
51880.0,6736536.863058062,3167463.3377617663,3260610.1267573885,-2369.922165728823,-452.4548651838912,6254.376544845806
51890.0,6712587.866950272,3162821.2652453487,3323031.836004974,-2419.835939611698,-475.94848824230917,6229.893572456143
51900.0,6688140.970145984,3157944.592893072,3385206.5678380076,-2469.5019506349267,-499.37464284251723,6204.981490854762
51910.0,6663198.660871742,3152834.001059733,3447130.0440237396,-2518.918082592353,-522.7321964599411,6179.642871081505
51920.0,6637763.448415305,3147490.18138009,3508798.012014692,-2568.0822393817643,-546.0200256000571,6153.880279139355
51930.0,6611837.86292657,3141913.836679368,3570206.244897959,-2616.9923446128846,-569.2370156371671,6127.696275929458
51940.0,6585424.455222391,3136105.6808853745,3631350.5413438897,-2665.646341219763,-592.3820606538602,6101.0934171929
51950.0,6558525.796595265,3130066.438942215,3692226.7255542306,-2714.042191075963,-615.4540632814743,6074.074253459756
51960.0,6531144.478625847,3123796.846725599,3752830.6472097854,-2762.177874613765,-638.4519345413529,6046.641330004816
51970.0,6503283.112999247,3117297.6509597297,3813158.181417671,-2810.0513904467944,-661.374593687221,6018.797186810062
51980.0,6474944.331325091,3110569.609135766,3873205.228658228,-2857.660754996292,-684.2209680482506,5990.544358533769
51990.0,6446130.7849613,3103613.489431847,3932967.714731658,-2905.0040021208856,-706.9899928734378,5961.885374486207
52000.0,6416845.144841547,3096430.0706346678,3992441.590704446,-2952.0791827502344,-729.6806111765447,5932.822758611567
52010.0,6387090.1013063695,3089020.142062604,4051622.832855639,-2998.884364522237,-752.2917735823883,5903.359029476289
52020.0,6356868.363937882,3081384.5034903646,4110507.442623033,-3045.41763142368,-774.8224381740845,5873.496700263648
52030.0,6326182.661398068,3073523.965075169,4169091.4465493415,-3091.677083435024,-797.2715703411391,5843.238278774216
52040.0,6295035.741270607,3065439.3472844386,4227370.8962283945,-3137.660836178397,-819.6381426287618,5812.586267432553
52050.0,6263430.3699062,3057131.480824987,4285341.868251437,-3183.367020569755,-841.9211345881795,5781.543163299544
