time,0,1,2,3,4,5
11117.0,6219973.723974184,80594.14442574147,1774211.644140211,-1773.3777361206562,4973.335017250073,5938.599310082838
11118.0,6218195.7739304,85567.39679867831,1780148.9020437908,-1782.521894409178,4973.16848850539,5935.915013628012
11119.0,6216408.681101798,90540.47892282851,1786083.4712016487,-1791.6633033996072,4972.994519991199,5933.221819720241
11120.0,6214612.44824474,95513.38335937027,1792015.3427195807,-1800.8019489705794,4972.813113607383,5930.519734862625
11121.0,6212807.078129697,100486.102671395,1797944.507709901,-1809.9378170229904,4972.624271280392,5927.808765588137
11122.0,6210992.573541227,105458.6294239337,1803870.9572914715,-1819.0708934799834,4972.427994962973,5925.088918459227
11123.0,6209168.937277954,110430.95618398329,1809794.6825897314,-1828.20116428713,4972.224286634283,5922.360200067945
11124.0,6207336.172152546,115403.07552053337,1815715.6747367268,-1837.328615412894,4972.013148300597,5919.622617036809
11125.0,6205494.280991691,120374.98000459334,1821633.924871142,-1846.4532328486753,4971.79458199514,5916.876176018558
11126.0,6203643.2666360745,125346.66220921908,1827549.4241383285,-1855.5750026087105,4971.568589777626,5914.12088369552
11127.0,6201783.131940355,130318.11470953927,1833462.1636903347,-1864.6939107299688,4971.3351737338035,5911.356746778996
11128.0,6199913.879773142,135289.33008278115,1839372.1346859345,-1873.8099432720498,4971.094335975012,5908.583772008651
11129.0,6198035.513016976,140260.30090829593,1845279.3282906557,-1882.923086317082,4970.846078637741,5905.801966151917
11130.0,6196148.034568305,145231.0197675837,1851183.7356768071,-1892.033325969603,4970.590403883171,5903.011336003373
11131.0,6194251.44733746,150201.47924431742,1857085.3480235045,-1901.1406483556757,4970.327313895322,5900.211888382347
11132.0,6192345.754248635,155171.6719243638,1862984.1565166935,-1910.2450396208435,4970.056810877116,5897.403630127889
11133.0,6190430.958239871,160141.5903958014,1868880.152349168,-1919.3464859297585,4969.77889704955,5894.586568097692
11134.0,6188507.062263033,165111.2272489391,1874773.3267205888,-1928.4449734664242,4969.493574651996,5891.760709168448
11135.0,6186574.069283795,170080.5750763343,1880663.6708375034,-1937.5404884344316,4969.2008459424815,5888.926060236187
11136.0,6184631.982281613,175049.6264728119,1886551.1759133649,-1946.6330170571828,4968.900713197949,5886.082628216584
11137.0,6182680.804249714,180018.3740354834,1892435.833168552,-1955.7225455781002,4968.593178714476,5883.230420045213
11138.0,6180720.53819507,184986.8103637659,1898317.6338303892,-1964.8090602608213,4968.278244807479,5880.3694426777765
11139.0,6178751.187138378,189954.9280594017,1904196.569133167,-1973.8925473893805,4967.955913811873,5877.499703090296
11140.0,6176772.754114041,194922.71972647787,1910072.6303181616,-1982.9729932685343,4967.626188082495,5874.621208279612
11141.0,6174785.2421701485,199890.1779714474,1915945.8086336583,-1992.0503842254886,4967.289069996952,5871.733965266965
11142.0,6172788.654368448,204857.29540315343,1921816.0953349771,-2001.1247066113713,4966.944561957986,5868.837981100946
11143.0,6170782.993784325,209824.06463285416,1927683.4816845001,-2010.1959468010741,4966.592666392968,5865.933262856828
11144.0,6168768.263506779,214790.47827424723,1933547.9589516977,-2019.2640911929361,4966.233385753138,5863.0198176355625
11145.0,6166744.466638399,219756.52894349312,1939409.5184131535,-2028.3291262084365,4965.866722512862,5860.097652562813
11146.0,6164711.606295341,224722.20925923792,1945268.1513525888,-2037.3910382918984,4965.4926791689295,5857.166774788033
11147.0,6162669.685607304,229687.51184263546,1951123.8490608858,-2046.4498139102036,4965.111258239874,5854.227191483578
11148.0,6160618.707717512,234652.4293173687,1956976.6028361104,-2055.5054395525167,4964.722462265323,5851.278909843865
11149.0,6158558.675782687,239616.9543096705,1962826.4039835331,-2064.557901730021,4964.326293805382,5848.321937084557
11150.0,6156489.592973029,244581.07944834384,1968673.2438156512,-2073.607186975664,4963.922755440039,5845.356280441791
11151.0,6154411.462472195,249544.7973647814,1974517.1136522072,-2082.65328184391,4963.511849768594,5842.381947171437
11152.0,6152324.287477275,254508.10069298456,1980358.0048202095,-2091.696172910505,4963.093579409118,5839.3989445483885
11153.0,6150228.071198775,259470.98206958183,1986195.9086539503,-2100.7358467720055,4962.667946997524,5836.407279865378
11154.0,6148122.816860594,264433.4341338458,1992030.8164950225,-2109.7722900447648,4962.234955185761,5833.40696043068
11155.0,6146008.527700003,269395.44952770864,1997862.7196923348,-2118.805489364586,4961.794606641125,5830.397993567238
11156.0,6143885.20696763,274357.02089577756,2003691.609602126,-2127.8354313867785,4961.346904046267,5827.38038661265
11157.0,6141752.857927437,279318.14088535,2009517.47758798,-2136.8621027862146,4960.891850099181,5824.354146919146
11158.0,6139611.4838567,284278.8021464292,2015340.31502084,-2145.885490257371,4960.429447513185,5821.319281853537
11159.0,6137461.088045994,289238.99733173917,2021160.113279023,-2154.905580514357,4959.959699016862,5818.27579879714
11160.0,6135301.6737991655,294198.7190967403,2026976.8637482354,-2163.9223602909296,4959.482607354,5815.223705145673
11161.0,6133133.244433321,299157.9600996442,2032790.5578215856,-2172.9358163404954,4958.998175283494,5812.1630083091295
